AREA_TITLE,H_MEAN,A_MEAN,OCC_TITLE
"Atlanta-Sandy Springs-Roswell, GA",50.5,105040,Computer and Mathematical Occupations
"Atlanta-Sandy Springs-Roswell, GA",50.28,104590,Computer Systems Analysts
"Atlanta-Sandy Springs-Roswell, GA",58.84,122390,Information Security Analysts
"Atlanta-Sandy Springs-Roswell, GA",50,104010,Computer and Information Research Scientists
"Atlanta-Sandy Springs-Roswell, GA",38.78,80660,Computer Network Support Specialists
"Atlanta-Sandy Springs-Roswell, GA",30.05,62510,Computer User Support Specialists
"Atlanta-Sandy Springs-Roswell, GA",64.16,133450,Computer Network Architects
"Atlanta-Sandy Springs-Roswell, GA",48.6,101090,Database Administrators
"Atlanta-Sandy Springs-Roswell, GA",68.36,142190,Database Architects
"Atlanta-Sandy Springs-Roswell, GA",50.54,105130,Network and Computer Systems Administrators
"Atlanta-Sandy Springs-Roswell, GA",47.05,97870,Computer Programmers
"Atlanta-Sandy Springs-Roswell, GA",58.96,122630,Software Developers
"Atlanta-Sandy Springs-Roswell, GA",48.9,101710,Software Quality Assurance Analysts and Testers
"Atlanta-Sandy Springs-Roswell, GA",43.81,91130,Web Developers
"Atlanta-Sandy Springs-Roswell, GA",46.62,96970,Web and Digital Interface Designers
"Atlanta-Sandy Springs-Roswell, GA",46.97,97700,"Computer Occupations, All Other"
"Atlanta-Sandy Springs-Roswell, GA",62.93,130890,Actuaries
"Atlanta-Sandy Springs-Roswell, GA",40.4,84030,Operations Research Analysts
"Atlanta-Sandy Springs-Roswell, GA",53.12,110490,Statisticians
"Atlanta-Sandy Springs-Roswell, GA",53.21,110670,Data Scientists
"Atlanta-Sandy Springs-Roswell, GA",44.62,92800,"Mathematical Science Occupations, All Other"
