Unnamed: 0,RegionName,State,Metro,CountyName,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
0,New York,NY,New York-Newark-Jersey City,Queens County,1,,,,2250.0,2369.0,2300.0,2350.0,2500.0,2550.0,2499.0,2450.0,2200.0,2200.0,2400.0,2500.0,2500.0,2350.0,2300.0,2400.0,2300.0,2350.0,2430.0,2400.0,2400.0,2450.0,2495.0,2500.0,2500.0,2500.0,2500.0,2550.0,2595.0,2600.0,2600.0,2600.0,2595.0,2650.0,2613.0,2650.0,2699.0,2700.0,2640.5,2650.0,2700.0,2700.0,2650.0,2619.0,2600.0,2600.0,2600.0,2600.0,2650.0,2640.0,2300.0,2250.0,2295.0,2250.0,2275.0,2200.0,2200.0,2250.0,2295.0,2350.0,2375.0,2300.0,2250.0,2300.0,2300.0,2250.0,2200.0,2200.0,2200.0,2200.0,2200.0,2295.0,2300.0,2350.0,2350.0,2349.0,2400.0,2495.0,2400.0,2200.0,2250.0,2300.0,2300.0,2350.0,2375.0,2395.0,2395.0,2400.0,2400.0,2350.0,2300.0,2300.0,2300.0,2300.0,2300.0,2399.0,2400.0,2400.0,2400.0,2400.0,2400.0,2325.0,2300.0,2295.0,2300.0,2300.0,2350.0,2400.0,2400.0,2450.0,2450.0,2475.0,2475.0,2400.0,2400.0,2425.0
3,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4,,,,,,,,,1355.0,1352.0,1394.5,1235.0,1275.0,1250.0,1283.5,1300.0,1375.0,1345.0,1300.0,1325.0,1329.0,1345.0,1381.0,1395.0,1341.0,1280.0,1250.0,1326.5,1395.0,1400.0,1400.0,1465.0,1500.0,1477.0,1500.0,1500.0,1600.0,1500.0,1550.0,1582.0,1600.0,1590.0,1594.0,1569.0,1545.0,1588.0,1642.0,1620.0,1549.0,1510.0,1498.0,1495.0,1544.0,1638.0,1525.0,1674.0,1700.0,1650.0,1495.0,1600.0,1658.0,1500.5,1500.0,1515.0,1500.0,1480.0,1492.0,1645.0,1724.5,1804.0,1724.0,1680.0,1737.0,1595.0,1545.0,1535.0,1505.0,1488.0,1495.0,1495.0,1495.0,1550.0,1550.0,1532.0,1500.0,1495.0,1495.0,1495.0,1495.0,1497.0,1525.0,1595.0,1610.0,1635.0,1596.0,1595.0,1595.0,1595.0,1600.0,1595.0,1595.0,1604.0,1614.0,1600.0,1595.0,1626.0,1640.0,1670.0,1675.0,1695.0,1650.0,1650.0,1634.0,1600.0,1582.0,1595.0,1542.0,1550.0,1550.0
5,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010.0,1000.0,1095.0,1250.0,1250.0,1250.0,1225.0,1145.0,1157.0,1100.0,1100.0,1075.0,1095.0,1165.0,1250.0,1225.0,1200.0,1162.5,1200.0,1150.0,1150.0,1205.0,1175.0,1200.0,1200.0,1250.0,1285.0,1350.0,1295.0,1295.0,1300.0,1267.0,1302.5,1289.0,1307.0,1275.0,1330.0,1350.0,1375.0,1400.0,1390.0,1395.0,1400.0,1395.0,1350.0,1352.5,1350.0,1350.0,1350.0,1475.0,1485.0,1495.0,1460.0,1495.0,1485.0,1495.0,1507.0,1565.0,1550.0,1550.0,1550.0,1550.0,1525.0,1496.0,1500.0,1507.5,1554.0,1495.0,1500.0,1500.0,1470.0
9,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,10,,,,,,,,,,,,,,,,,,965.0,879.0,880.0,828.0,795.0,900.0,870.0,865.0,945.0,875.0,989.0,1014.0,975.0,965.0,1048.5,1025.0,1050.0,1084.0,1150.0,1059.0,1083.0,1083.0,1026.0,1096.0,1100.0,1050.0,1095.0,1107.0,1150.0,1159.0,1180.0,1144.0,1136.0,1164.0,1150.0,1179.0,1147.0,1115.0,1125.0,1150.0,1199.5,1200.0,1160.0,1129.5,1119.0,1153.0,1150.0,1169.0,1198.5,1199.0,1226.0,1200.0,1195.0,1195.0,1205.0,1255.0,1275.0,1250.0,1247.0,1265.0,1266.0,1237.5,1310.0,1275.0,1250.0,1210.0,1300.0,1293.0,1307.0,1306.0,1310.0,1320.0,1325.0,1350.0,1329.0,1310.0,1348.0,1325.0,1325.0,1371.0,1345.0,1334.0,1350.0,1361.0,1370.0,1370.0,1355.0,1375.0,1359.0,1345.0,1360.0,1398.0,1376.0,1375.0,1375.0,1360.0,1355.0,1330.0,1335.0,1340.0,1330.0,1340.0
14,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,15,,,,,,,,,,,,,2000.0,1995.0,2050.0,2150.0,2125.0,2400.0,2550.0,2797.5,2690.0,2700.0,2490.0,2606.5,2690.0,2710.0,2650.0,2700.0,2797.5,2790.0,2680.0,2715.0,2750.0,2775.0,2800.0,2800.0,2785.0,2800.0,2846.0,3000.0,2985.0,2985.0,2954.0,2937.5,2900.0,2995.0,3049.0,3125.0,3000.0,2995.0,3064.0,3250.0,3295.0,3270.0,3315.5,3350.0,3379.5,3379.0,3419.0,3500.0,3500.0,3495.0,3500.0,3500.0,3600.0,3495.0,3552.5,3507.0,3500.0,3495.0,3402.5,3632.0,3638.0,3600.0,3600.0,3601.0,3518.0,3450.0,3338.0,3300.0,3223.0,3223.5,3100.0,3250.0,3295.0,3295.0,3306.0,3376.0,3400.0,3433.0,3387.0,3312.0,3295.0,3349.0,3303.5,3300.0,3395.0,3400.0,3405.0,3429.5,3475.0,3476.5,3495.0,3495.0,3495.0,3474.0,3426.0,3495.0,3500.0,3500.0,3534.0,3600.0,3641.5,3615.0,3600.0,3650.0,3580.0,3499.0,3500.0
22,Denver,CO,Denver-Aurora-Lakewood,Denver County,23,,,,,,,,,,,,,,,,,,,,,,,950.0,925.0,975.0,1055.0,1069.0,1057.5,1050.0,1010.0,1055.0,1095.0,1095.0,1080.0,1100.0,1050.0,1120.0,1105.0,1125.0,990.0,990.0,1065.0,1100.0,1050.0,1059.0,1082.0,1220.0,1188.5,1150.0,1125.0,1200.0,1245.0,1213.5,1316.0,1395.0,1431.5,1395.0,1430.0,1417.0,1426.5,1450.0,1435.0,1450.0,1450.0,1475.0,1480.0,1500.0,1503.0,1465.0,1461.0,1455.0,1440.0,1450.0,1428.0,1385.0,1410.0,1400.0,1399.0,1490.0,1399.0,1314.5,1315.0,1337.0,1350.0,1379.0,1525.0,1585.0,1580.0,1563.0,1590.0,1600.0,1600.0,1600.0,1628.0,1605.0,1585.0,1620.0,1600.0,1611.5,1600.0,1610.0,1650.0,1649.0,1625.0,1600.0,1591.0,1580.0,1579.0,1565.0,1593.0,1638.0,1683.0,1715.0,1684.5,1669.0,1658.0,1676.0,1686.0,1682.0
23,Seattle,WA,Seattle-Tacoma-Bellevue,King County,24,,,,,,,,,,,,1050.0,1088.0,1030.0,1095.0,1100.0,1185.0,1185.0,1195.0,1075.0,1147.5,1117.5,1100.0,1100.0,1180.0,1225.0,1250.0,1250.0,1346.0,1300.0,1369.0,1400.5,1450.0,1475.0,1440.0,1400.0,1450.0,1457.0,1450.0,1450.0,1450.0,1495.0,1480.0,1545.0,1485.0,1495.0,1560.0,1500.0,1490.0,1495.0,1550.0,1639.0,1695.0,1725.0,1712.5,1725.0,1672.0,1651.5,1646.0,1675.0,1704.0,1713.0,1713.0,1707.0,1716.5,1745.0,1754.5,1757.0,1745.0,1745.0,1745.0,1750.0,1760.5,1816.0,1800.0,1865.0,1814.0,1725.0,1825.0,1825.0,1795.0,1750.0,1735.0,1800.0,1900.0,1950.0,1980.0,2020.0,2000.0,2040.0,2021.5,2010.0,1990.0,1950.0,1955.0,1975.0,2000.0,1995.0,1999.0,2100.0,2100.0,2095.0,2080.0,2045.0,2034.5,2035.0,2040.0,2049.0,2040.0,2035.0,2047.0,2050.0,2050.0,2057.0,2064.5,2046.0,2034.0,2027.5,2013.5
25,Boston,MA,Boston-Cambridge-Newton,Suffolk County,26,,,,,,,,,,,,1990.0,1850.0,1745.0,1675.0,1650.0,1685.0,1750.0,1850.0,2150.0,2195.0,2200.0,2100.0,1900.0,1800.0,1850.0,1800.0,1850.0,1825.0,1867.5,1950.0,2200.0,2100.0,2200.0,2200.0,2100.0,2000.0,1965.0,1950.0,1930.0,1975.0,2000.0,2000.0,2050.0,2100.0,2100.0,2095.0,2000.0,1995.0,1975.0,2000.0,1995.0,2000.0,1995.0,1995.0,1995.0,2050.0,2100.0,2100.0,2100.0,2100.0,2050.0,2075.0,2060.0,2050.0,2095.0,2100.0,2100.0,2150.0,2185.0,2175.0,2100.0,2050.0,2025.0,2025.0,2000.0,2000.0,2000.0,2000.0,1995.0,2100.0,2075.0,2100.0,2095.0,2000.0,1975.0,2000.0,2000.0,2000.0,2000.0,2095.0,2100.0,2125.0,2125.0,2125.0,2150.0,2100.0,2050.0,2000.0,2100.0,2100.0,2100.0,2200.0,2243.5,2350.0,2350.0,2350.0,2300.0,2200.0,2150.0,2150.0,2175.0,2195.0,2200.0,2150.0,2200.0,2300.0,2300.0,2375.0
39,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,40,1095.0,1090.0,1125.0,1125.0,1200.0,1200.0,1062.5,1070.0,1100.0,1100.0,1050.0,1099.5,1150.0,1100.0,1150.0,1150.0,1150.0,1085.0,1091.0,1050.0,1032.5,1040.0,1095.5,1025.0,1009.0,1015.0,1000.0,1015.0,1050.0,1070.0,1000.0,993.0,992.0,962.0,920.0,950.0,929.0,1005.0,1060.5,1100.0,1120.0,1100.0,1135.0,1175.0,1182.5,1137.0,1159.5,1150.0,1150.0,1164.0,1200.0,1215.0,1205.0,1200.0,1244.0,1293.0,1250.0,1244.0,1239.0,1250.0,1294.0,1300.0,1304.0,1300.0,1365.0,1368.0,1379.5,1400.0,1379.0,1375.0,1355.0,1376.5,1360.0,1395.0,1415.0,1398.0,1440.0,1409.0,1419.0,1394.0,1404.5,1360.0,1350.0,1395.0,1407.0,1420.0,1420.0,1450.0,1455.0,1470.0,1464.0,1471.5,1499.0,1500.0,1498.0,1488.0,1500.0,1515.0,1505.0,1509.0,1525.0,1550.0,1575.0,1575.0,1615.0,1625.0,1622.0,1625.0,1630.0,1635.0,1595.0,1593.0,1601.5,1606.0,1616.0,1605.0,1600.0,1587.0,1580.0
40,Kansas City,MO,Kansas City,Jackson County,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819.5,725.0,747.0,725.0,730.0,728.0,750.0,729.0,722.5,700.0,715.0,715.0,715.0,715.0,725.0,759.0,761.0,800.0,835.0,786.0,765.0,795.0,775.0,750.5,728.0,743.0,750.5,830.0,808.0,850.0,850.0,858.0,840.5,830.5,885.0,865.0,813.0,895.0,920.0,903.0,875.0,856.0,945.0,914.0,900.0,916.0,899.5,909.0,923.0,910.5,926.0,949.0,934.0,950.0,955.0,955.0,955.0,989.0,980.0,1000.0,1010.0,975.0,988.0,1007.0,1005.0,1015.0,995.0,975.0,965.0,955.0,960.0,950.0,930.0,955.0
