AREA_TITLE,H_MEAN,A_MEAN,OCC_TITLE
"Denver-Aurora-Lakewood, CO",55.56,115560,Computer and Mathematical Occupations
"Denver-Aurora-Lakewood, CO",58.1,120850,Computer Systems Analysts
"Denver-Aurora-Lakewood, CO",57.75,120120,Information Security Analysts
"Denver-Aurora-Lakewood, CO",57.29,119170,Computer and Information Research Scientists
"Denver-Aurora-Lakewood, CO",38.82,80750,Computer Network Support Specialists
"Denver-Aurora-Lakewood, CO",33.31,69280,Computer User Support Specialists
"Denver-Aurora-Lakewood, CO",65.59,136430,Computer Network Architects
"Denver-Aurora-Lakewood, CO",54.67,113700,Database Administrators
"Denver-Aurora-Lakewood, CO",62.08,129120,Database Architects
"Denver-Aurora-Lakewood, CO",50.59,105230,Network and Computer Systems Administrators
"Denver-Aurora-Lakewood, CO",59.06,122850,Computer Programmers
"Denver-Aurora-Lakewood, CO",62.86,130740,Software Developers
"Denver-Aurora-Lakewood, CO",52.83,109880,Software Quality Assurance Analysts and Testers
"Denver-Aurora-Lakewood, CO",44.63,92820,Web Developers
"Denver-Aurora-Lakewood, CO",46.87,97490,Web and Digital Interface Designers
"Denver-Aurora-Lakewood, CO",64.47,134090,"Computer Occupations, All Other"
"Denver-Aurora-Lakewood, CO",61.31,127530,Actuaries
"Denver-Aurora-Lakewood, CO",46.25,96200,Operations Research Analysts
"Denver-Aurora-Lakewood, CO",44.48,92510,Statisticians
"Denver-Aurora-Lakewood, CO",55.26,114940,Data Scientists
