objectid,region,dot_mode,modaloffice,inc_states,street,city,state,zipcode,phone,website,shape_Length,shape_Area
1,Region 1,Federal Transit Administration (FTA),Regional Offices,"CT, MA, ME, NH, RI, VT","Kendall Square, 55 Broadway, Suite 920",Cambridge,MA,02142-1093,617-494-2055,https://www.transit.dot.gov/about/regional-offices/region-1/region-1,49.0231151092978,19.4284264211425
2,Region 10,Federal Transit Administration (FTA),Regional Offices,"AK, ID, OR, WA","915 Second Avenue, Suite 3142",Seattle,WA,98174-1002,206-220-7954,https://www.transit.dot.gov/about/regional-offices/region-10/region-10,543.27598276305,356.37319589565
3,Region 2,Federal Transit Administration (FTA),Regional Offices,"NY, NJ","One Bowling Green, Room 428",New York,NY,10004,212-668-2170,https://www.transit.dot.gov/about/regional-offices/region-2/region-2,34.7702453928427,16.1645042370064
4,Region 3,Federal Transit Administration (FTA),Regional Offices,"DE, DC, MD, PA, VA, WV","1835 Market Street, Suite 1910",Philadelphia,PA,19103,215-656-7100,https://www.transit.dot.gov/about/regional-offices/region-3/region-3,52.2766347932817,33.1827432729359
5,Region 4,Federal Transit Administration (FTA),Regional Offices,"AL, FL, GA, KY, MS, NC, SC, TN, PR, VI","230 Peachtree Street, NW, Suite 1400",Atlanta,GA,30303,404-865-5600,https://www.transit.dot.gov/about/regional-offices/region-4/region-4,106.969762609714,97.2565062955316
6,Region 5,Federal Transit Administration (FTA),Regional Offices,"IL, IN, MN, MI, OH, WI","200 West Adams Street, Suite 320",Chicago,IL,60606,312-353-2789,https://www.transit.dot.gov/about/regional-offices/region-5/region-5,124.750054308429,95.7821714482033
7,Region 6,Federal Transit Administration (FTA),Regional Offices,"AR, LA, NM, OK, TX","Fritz G. Lanham Federal Building, 819 Taylor Street, Room 14A02",Fort Worth,TX,76102,817-978-0550,https://www.transit.dot.gov/about/regional-offices/region-6/region-6,96.1405790018599,139.810581468342
8,Region 7,Federal Transit Administration (FTA),Regional Offices,"IA, KS, MO, NE","901 Locust Street, Suite 404",Kansas City,MO,64106,816-329-3920,https://www.transit.dot.gov/about/regional-offices/region-7/region-7,51.4129722350876,78.0911707265642
9,Region 8,Federal Transit Administration (FTA),Regional Offices,"CO, MT, ND, SD, UT, WY","Byron Rogers Federal Building, 1961 Stout Street, Suite 13-301",Denver,CO,80294,303-362-2400,https://www.transit.dot.gov/about/regional-offices/region-8/region-8,83.7425825130025,168.482888169488
10,Region 9,Federal Transit Administration (FTA),Regional Offices,"AZ, CA, HI, NV, AS, GU, MP","San Francisco Federal Building, 90 7th Street, Suite 15-300",San Francisco,CA,94103,415-734-9490,https://www.transit.dot.gov/about/regional-offices/region-9/region-9,82.9571787331197,102.176668457156
