AREA_TITLE,H_MEAN,A_MEAN,OCC_TITLE
"New York-Newark-Jersey City, NY-NJ-PA",59.23,123190,Computer and Mathematical Occupations
"New York-Newark-Jersey City, NY-NJ-PA",60.54,125920,Computer Systems Analysts
"New York-Newark-Jersey City, NY-NJ-PA",67.28,139930,Information Security Analysts
"New York-Newark-Jersey City, NY-NJ-PA",61.81,128570,Computer and Information Research Scientists
"New York-Newark-Jersey City, NY-NJ-PA",44.66,92900,Computer Network Support Specialists
"New York-Newark-Jersey City, NY-NJ-PA",35.55,73950,Computer User Support Specialists
"New York-Newark-Jersey City, NY-NJ-PA",71.73,149210,Computer Network Architects
"New York-Newark-Jersey City, NY-NJ-PA",57.07,118710,Database Administrators
"New York-Newark-Jersey City, NY-NJ-PA",69.01,143550,Database Architects
"New York-Newark-Jersey City, NY-NJ-PA",55.75,115960,Network and Computer Systems Administrators
"New York-Newark-Jersey City, NY-NJ-PA",57.97,120580,Computer Programmers
"New York-Newark-Jersey City, NY-NJ-PA",68.67,142830,Software Developers
"New York-Newark-Jersey City, NY-NJ-PA",58.42,121500,Software Quality Assurance Analysts and Testers
"New York-Newark-Jersey City, NY-NJ-PA",39.73,82640,Web Developers
"New York-Newark-Jersey City, NY-NJ-PA",57.01,118580,Web and Digital Interface Designers
"New York-Newark-Jersey City, NY-NJ-PA",49.99,103980,"Computer Occupations, All Other"
"New York-Newark-Jersey City, NY-NJ-PA",73.54,152950,Actuaries
"New York-Newark-Jersey City, NY-NJ-PA",57.08,118730,Mathematicians
"New York-Newark-Jersey City, NY-NJ-PA",52.91,110060,Operations Research Analysts
"New York-Newark-Jersey City, NY-NJ-PA",65.64,136530,Statisticians
"New York-Newark-Jersey City, NY-NJ-PA",65.4,136040,Data Scientists
"New York-Newark-Jersey City, NY-NJ-PA",48.91,101740,"Mathematical Science Occupations, All Other"
