AREA_TITLE,H_MEAN,A_MEAN,OCC_TITLE
"San Francisco-Oakland-Hayward, CA",74.76,155490,Computer and Mathematical Occupations
"San Francisco-Oakland-Hayward, CA",70.44,146520,Computer Systems Analysts
"San Francisco-Oakland-Hayward, CA",67.18,139740,Information Security Analysts
"San Francisco-Oakland-Hayward, CA",124.98,259960,Computer and Information Research Scientists
"San Francisco-Oakland-Hayward, CA",45.92,95510,Computer Network Support Specialists
"San Francisco-Oakland-Hayward, CA",40.1,83410,Computer User Support Specialists
"San Francisco-Oakland-Hayward, CA",78.4,163060,Computer Network Architects
"San Francisco-Oakland-Hayward, CA",61.53,127980,Database Administrators
"San Francisco-Oakland-Hayward, CA",80.12,166650,Database Architects
"San Francisco-Oakland-Hayward, CA",61.21,127320,Network and Computer Systems Administrators
"San Francisco-Oakland-Hayward, CA",64.89,134960,Computer Programmers
"San Francisco-Oakland-Hayward, CA",87.32,181620,Software Developers
"San Francisco-Oakland-Hayward, CA",67.61,140630,Software Quality Assurance Analysts and Testers
"San Francisco-Oakland-Hayward, CA",58.65,121980,Web Developers
"San Francisco-Oakland-Hayward, CA",65.02,135240,Web and Digital Interface Designers
"San Francisco-Oakland-Hayward, CA",71.53,148780,"Computer Occupations, All Other"
"San Francisco-Oakland-Hayward, CA",69.43,144410,Actuaries
"San Francisco-Oakland-Hayward, CA",52.06,108270,Operations Research Analysts
"San Francisco-Oakland-Hayward, CA",74.5,154950,Statisticians
"San Francisco-Oakland-Hayward, CA",73.12,152080,Data Scientists
"San Francisco-Oakland-Hayward, CA",68.2,141860,"Mathematical Science Occupations, All Other"
