AREA_TITLE,H_MEAN,A_MEAN,OCC_TITLE
"Seattle-Tacoma-Bellevue, WA",65.19,135590,Computer and Mathematical Occupations
"Seattle-Tacoma-Bellevue, WA",62.53,130070,Computer Systems Analysts
"Seattle-Tacoma-Bellevue, WA",65.59,136430,Information Security Analysts
"Seattle-Tacoma-Bellevue, WA",95.49,198610,Computer and Information Research Scientists
"Seattle-Tacoma-Bellevue, WA",42.8,89030,Computer Network Support Specialists
"Seattle-Tacoma-Bellevue, WA",36,74870,Computer User Support Specialists
"Seattle-Tacoma-Bellevue, WA",74.69,155360,Computer Network Architects
"Seattle-Tacoma-Bellevue, WA",56.48,117480,Database Administrators
"Seattle-Tacoma-Bellevue, WA",79.01,164350,Database Architects
"Seattle-Tacoma-Bellevue, WA",53.3,110870,Network and Computer Systems Administrators
"Seattle-Tacoma-Bellevue, WA",64.3,133750,Computer Programmers
"Seattle-Tacoma-Bellevue, WA",74.85,155680,Software Developers
"Seattle-Tacoma-Bellevue, WA",54.98,114370,Software Quality Assurance Analysts and Testers
"Seattle-Tacoma-Bellevue, WA",68.36,142200,Web Developers
"Seattle-Tacoma-Bellevue, WA",58.53,121750,Web and Digital Interface Designers
"Seattle-Tacoma-Bellevue, WA",55.13,114670,"Computer Occupations, All Other"
"Seattle-Tacoma-Bellevue, WA",61.99,128940,Actuaries
"Seattle-Tacoma-Bellevue, WA",65.27,135750,Mathematicians
"Seattle-Tacoma-Bellevue, WA",45.81,95290,Operations Research Analysts
"Seattle-Tacoma-Bellevue, WA",53.92,112160,Statisticians
"Seattle-Tacoma-Bellevue, WA",68.66,142810,Data Scientists
"Seattle-Tacoma-Bellevue, WA",34.26,71260,"Mathematical Science Occupations, All Other"
