,RegionName,State,Metro,CountyName,SizeRank,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
0,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3985.0,4500.0,3850.0,3700.0,3800.0,3999.0,4100.0,4300.0,4447.5,4225.0,4325.0,4250.0,4250.0,3997.0,4300.0,4200.0,4250.0,4000.0,4000.0,4325.0,4399.0,4299.5,4400.0,4500.0,4400.0,4250.0,4295.0,4000.0,3950.0,4000.0,4150.0,3972.5,3950.0,4195.0,4250.0,4500.0,4495.0,4500.0,4495.0
1,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500.0,2400.0,2395.0,2695.0,2900.0,2950.0,2800.0,2750.0,2975.0,2825.0,2825.0,2500.0,2400.0,2400.0,2500.0,2547.5,2750.0,2750.0,2575.0,2674.5,2600.0,2600.0,2750.0,2695.0,2500.0,2500.0,2600.0,2700.0,2850.0,3125.0,2925.0,3000.0,3200.0,2950.0,2900.0,2900.0
2,San Antonio,TX,San Antonio-New Braunfels,Bexar County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775.0,1995.0,1900.0,2075.0,2025.0,2000.0,1997.5,2000.0,1950.0,2000.0,1995.0,1895.0,1922.5,1995.0,2000.0,2000.0,2100.0,2100.0,1995.0,1950.0,1950.0,1995.0,1800.0,1850.0,1800.0,1850.0,1872.5,1850.0,1812.5,1800.0,1850.0,1950.0,2000.0,1995.0,1875.0,1800.0,1812.5,1850.0,1850.0
3,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2875.0,2750.0,2625.0,2750.0,2725.0,2655.0,2600.0,2550.0,2500.0,2500.0,2500.0,2750.0,2800.0,2875.0
4,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,5,,1795.0,1800.0,1900.0,1795.0,1800.0,1895.0,1895.0,1895.0,1924.5,1950.0,1925.0,1895.0,1750.0,1825.0,1697.0,1650.0,1650.0,1650.0,1675.0,1700.0,1650.0,1650.0,1650.0,1650.0,1699.0,1700.0,1700.0,1700.0,1695.0,1700.0,1712.5,1800.0,1795.0,1700.0,1700.0,1700.0,1750.0,1750.0,1750.0,1800.0,1775.0,1800.0,1800.0,1800.0,1785.0,1795.0,1800.0,1795.0,1812.5,1850.0,1842.5,1875.0,1947.5,1895.0,1900.0,1900.0,1800.0,1815.0,1920.0,1875.0,1950.0,1995.0,1995.0,2000.0,2100.0,1900.0,1957.5,1997.5,1995.0,1995.0,1895.0,1900.0,1975.0,2000.0,2100.0,2200.0,2100.0,2067.5,2100.0,2000.0,2000.0,2000.0,2095.0,2097.5,2095.0,2195.0,2295.0,2250.0,2225.0,2200.0,2290.0,2295.0,2275.0,2244.0,2200.0,2350.0,2200.0,2221.0,2396.5,2495.0,2500.0,2425.0,2400.0,2300.0,2322.5,2300.0,2395.0
5,San Diego,CA,San Diego-Carlsbad,San Diego County,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4997.5,5200.0,4850.0,4500.0,4900.0,5000.0,4997.5,5100.0,4700.0,4750.0,4900.0,4895.0,5500.0,5050.0,4875.0,4800.0,4950.0,4800.0,4625.0,4997.5,4900.0,4550.0,4700.0,5000.0,4997.5,5000.0,5400.0,5500.0,5450.0,5224.5,5200.0,5000.0,5600.0,5300.0,5600.0,5500.0
6,Austin,TX,Austin-Round Rock,Travis County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100.0,3995.0,3875.0,3945.0,3897.5,3800.0,3700.0,3800.0,3400.0,3700.0,4000.0,4500.0,4750.0,4750.0,4295.0
7,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900.0,4372.5,4250.0,4397.5,4700.0,4700.0,4300.0,4275.0,4200.0,4200.0,4200.0,4197.5,4100.0,4000.0,4250.0,4500.0,4972.5,4950.0,4795.0,4575.0,4500.0,4500.0,4287.5,4500.0,4400.0,4549.5,4800.0,4700.0,4395.0,4762.5,4700.0,4500.0,4400.0,4200.0,4300.0,4300.0
8,Jacksonville,FL,Jacksonville,Duval County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1597.5,1625.0,1597.5,1650.0,1735.0,1947.5,1850.0,1950.0,1845.0,1975.0,1850.0,1820.0,1820.0,1645.0,1659.5,1750.0,1750.0,1913.0,1775.0,1700.0,1793.0,1682.5,1682.5,1500.0,1690.0,1650.0,1800.0,1849.5,1750.0,1650.0,1750.0,1695.0,1595.0,1695.0,1650.0,1692.5
9,Charlotte,NC,Charlotte-Concord-Gastonia,Mecklenburg County,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175.0,2175.0,2175.0,2245.0,2200.0,2195.0,2250.0,2150.0,2147.5,1995.0,2050.0,2072.5,2162.5,2050.0,1997.5,2135.0,2082.5,2322.5,2255.5,2195.0,2200.0,2212.5,2197.5,2112.5,2150.0,2099.0,2212.5,2285.0,2322.5,2272.5,2307.0,2237.5,2200.0,2200.0,2200.0,2200.0
10,Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500.0,2387.5,2397.5,2200.0,2199.0,2297.5,2100.0,1975.0,2000.0,2045.0,2400.0,2320.0,2500.0,2300.0,2297.5,2297.5,2395.0,2495.0,2700.0,2300.0,2195.0
11,Orlando,FL,Orlando-Kissimmee-Sanford,Orange County,12,,,,,,,,,,,,,,1699.5,1775.0,1775.0,1795.0,1795.0,1825.0,1895.0,1945.0,1812.5,1795.0,1825.0,1785.0,1820.0,1795.0,1899.5,1872.5,1850.0,1872.5,1895.0,1900.0,1895.0,1895.0,1895.0,1850.0,1850.0,1800.0,1800.0,1850.0,1895.0,1895.0,1885.0,1812.5,1895.0,1895.0,1850.0,1850.0,1850.0,1860.0,1885.0,1895.0,2000.0,2000.0,1995.0,1995.0,1995.0,1900.0,1950.0,1995.0,1987.5,1962.5,2000.0,1975.0,1995.0,1995.0,1999.0,2095.0,2025.0,1949.0,1995.0,2000.0,2120.0,2000.0,2050.0,2075.0,2125.0,2200.0,2100.0,2100.0,2099.5,2097.5,2100.0,2050.0,2100.0,2295.0,2250.0,2200.0,2250.0,2200.0,2198.0,2250.0,2292.5,2200.0,2200.0,2200.0,2300.0,2300.0,2300.0,2398.0,2347.5,2315.0,2300.0,2300.0,2200.0,2165.0,2200.0
12,Boston,MA,Boston-Cambridge-Newton,Suffolk County,13,,,,,,,,,,,,,3900.0,3600.0,3750.0,3900.0,3900.0,3875.0,3800.0,3800.0,3900.0,3800.0,3800.0,3950.0,4200.0,4000.0,3900.0,3900.0,3900.0,3900.0,3900.0,3750.0,3800.0,3900.0,3975.0,4100.0,4200.0,4150.0,4150.0,4150.0,4000.0,3900.0,3825.0,3800.0,3900.0,4000.0,3999.0,4200.0,4300.0,4275.0,4200.0,4000.0,4000.0,3900.0,3800.0,3800.0,3800.0,3650.0,3950.0,4200.0,4500.0,4500.0,4350.0,4200.0,4200.0,4000.0,4000.0,4000.0,4000.0,3997.0,3900.0,4250.0,4500.0,4500.0,4500.0,4400.0,4400.0,4300.0,4250.0,4250.0,4200.0,4050.0,4400.0,4700.0,4800.0,4800.0,4600.0,4500.0,4500.0,4400.0,4300.0,4250.0,4200.0,4100.0,4500.0,4800.0,5000.0,4900.0,4750.0,4650.0,4595.0,4500.0,4450.0,4300.0,4300.0,4300.0,4750.0,5000.0
13,Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.0,1925.0,1925.0,1975.0,1750.0,1700.0,1900.0,1872.5,1745.0,1797.0,1950.0,1825.0,1797.0,1750.0,1722.5,1995.0,1995.0
14,Sacramento,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2365.0,2295.0,2195.0,2195.0,2000.0,1800.0,2000.0,2200.0,2295.0,2195.0,2125.0,2295.0,2197.5,2200.0,2122.5,2247.5,2095.0,2000.0,1997.5,1900.0
15,Milwaukee,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.5,900.0,975.0,1047.5,995.0,1025.0,975.0,975.0,995.0,925.0,912.5,895.0,875.0,910.0,985.0,1000.0,995.0,1025.0,970.0,925.0,900.0,950.0,950.0,925.0,999.5,962.5,925.0,1050.0,1050.0,987.5,995.0,1000.0,1047.5,1050.0,1050.0,1000.0
16,Kansas City,MO,Kansas City,Jackson County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175.0,1100.0,1100.0,1075.0,1075.0,1100.0,1000.0,997.5,1150.0,1125.0,1112.5,1150.0,1137.5,1150.0,1249.0,1275.0,1274.5,1300.0,1200.0,1175.0,1175.0
17,Colorado Springs,CO,Colorado Springs,El Paso County,18,,,,1850.0,1700.0,1895.0,1600.0,1547.5,1560.0,1595.0,1595.0,1497.5,1500.0,1497.5,1697.5,1875.0,1762.5,1675.0,1650.0,1650.0,1645.0,1650.0,1600.0,1600.0,1637.0,1650.0,1695.0,1795.0,1772.5,1650.0,1600.0,1650.0,1650.0,1600.0,1597.5,1647.5,1600.0,1650.0,1650.0,1697.5,1795.0,1850.0,1795.0,1850.0,1795.0,1725.0,1725.0,1700.0,1700.0,1750.0,1795.0,1950.0,1950.0,1895.0,1837.5,1895.0,1895.0,1875.0,1850.0,1795.0,1800.0,1800.0,1800.0,1800.0,1950.0,1897.5,1995.0,1925.0,1750.0,1800.0,1850.0,1925.0,1972.5,2000.0,1997.5,2095.0,2195.0,2150.0,2042.5,1995.0,2000.0,1995.0,1912.5,1895.0,2000.0,2050.0,2175.0,2195.0,2125.0,2125.0,2195.0,2125.0,2050.0,2000.0,1950.0,2000.0,2125.0,2100.0,2192.5,2195.0,2000.0,2250.0,2199.0,2100.0,2172.5,2097.5,2197.5,2000.0
18,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2347.5,2297.5,2100.0,1995.0,2200.0,1995.0,2300.0,2197.5,2295.0,2195.0,2212.5,2225.0,2300.0,2300.0,2400.0,2145.0,2200.0,2200.0,2250.0,2295.0,2200.0,2218.0,2195.0,2195.0,2172.5,2495.0,2500.0,2395.0,2295.0,2375.0,2362.5
19,Virginia Beach,VA,Virginia Beach-Norfolk-Newport News,Virginia Beach City,20,,,,,,,,,,,,,,,,,2395.0,2200.0,2225.0,2100.0,2200.0,2050.0,2050.0,2200.0,2197.5,2100.0,1950.0,2200.0,2250.0,2395.0,2250.0,2100.0,1992.5,2050.0,2295.0,2100.0,1925.0,2000.0,2000.0,2225.0,2300.0,2300.0,2297.5,2147.5,2300.0,2247.5,2200.0,2200.0,2295.0,2100.0,2100.0,2395.0,2395.0,2295.0,2000.0,2050.0,2095.0,2097.5,2100.0,2100.0,2200.0,2200.0,2472.5,2400.0,2337.5,2250.0,2395.0,2395.0,2347.5,2297.5,2097.5,2100.0,2250.0,2200.0,2275.0,2195.0,2550.0,2400.0,2462.5,2337.5,2367.5,2295.0,2200.0,2295.0,2200.0,2295.0,2300.0,2400.0,2400.0,2462.5,2495.0,2400.0,2300.0,2395.0,2395.0,2497.5,2500.0,2495.0,2400.0,2600.0,2500.0,2472.5,2650.0,2497.5,2395.0,2395.0,2397.5,2400.0
