,RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
0,New York,NY,New York-Newark-Jersey City,Queens County,1,,,,,2300.0,2450.0,2495.0,2400.0,2600.0,2800.0,2680.0,2900.0,2600.0,2350.0,2595.0,2695.0,2700.0,2700.0,2800.0,2870.0,2850.0,2800.0,2650.0,2595.0,2450.0,2600.0,2550.0,2595.0,2650.0,2600.0,2650.0,2695.0,2700.0,2750.0,2750.0,2800.0,2800.0,2800.0,2800.0,2800.0,2900.0,2800.0,2700.0,2800.0,2850.0,2850.0,2900.0,2900.0,2915.5,2914.0,2895.0,2850.0,2925.0,2995.0,2895.0,2900.0,2900.0,2912.5,2895.0,2800.0,2900.0,2944.5,2950.0,2950.0,2900.0,3000.0,3000.0,3000.0,3000.0,2990.0,2960.5,2995.0,2986.5,2950.0,2976.0,2990.0,2987.5,2900.0,2950.0,2950.0,2908.0,2950.0,2900.0,2875.0,2900.0,2995.0,2995.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,2950.0,2925.0,2918.0,2900.0,2895.0,2850.0,2850.0,2900.0,2900.0,2900.0,2900.0,2900.0,2850.0,2800.0,2800.0,2800.0,2800.0,2800.0,2875.0,2900.0,2895.0,2850.0,2925.0,2900.0,2900.0,2899.0,2900.0
1,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600.0,2375.0,2700.0,2600.0,2600.0,2600.0,2600.0,2800.0,2837.5,2900.0,2900.0,2995.0,2900.0,2982.5,2995.0,2995.0,2995.0,3000.0,3200.0,3200.0,3297.5,3260.0,3367.5,3300.0,3250.0,3200.0,3200.0,3300.0,3400.0,3400.0,3400.0,3292.5,3300.0,3295.0,3150.0,3495.0,3195.0,3500.0,3200.0,3300.0,3400.0,3500.0,3500.0,3550.0,3550.0,3500.0,3550.0,3500.0,3500.0,3500.0,3500.0,3495.0,3450.0,3450.0,3500.0,3500.0,3550.0,3500.0,3595.0,3595.0,3595.0,3600.0,3550.0,3500.0,3500.0,3500.0,3500.0,3500.0,3520.0,3500.0,3600.0,3607.0,3665.0,3600.0,3550.0
2,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.0,1235.0,1250.0,1250.0,1299.5,1350.0,1395.0,1400.0,1400.0,1420.0,1400.0,1411.0,1400.0,1425.0,1425.0,1445.0,1467.0,1500.0,1500.0,1550.0,1510.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1513.5,1550.0,1525.0,1495.0,1489.5,1450.0,1475.0,1450.0,1400.0,1437.0,1400.0,1450.0,1495.0,1495.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1495.0,1480.0,1480.0,1475.0,1475.0,1500.0,1500.0,1550.0,1559.5,1575.0,1550.0,1545.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1544.0,1550.0,1550.0,1550.0,1550.0,1550.0,1500.0,1500.0,1500.0
3,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4,,1600.0,1500.0,1500.0,1500.0,1550.0,1500.0,1500.0,1600.0,1650.0,1700.0,1800.0,1605.0,1600.0,1600.0,1600.0,1625.0,1625.0,1650.0,1650.0,1650.0,1650.0,1600.0,1600.0,1625.0,1635.0,1650.0,1600.0,1600.0,1650.0,1650.0,1650.0,1599.0,1599.0,1565.0,1599.0,1595.0,1585.0,1590.0,1575.0,1600.0,1600.0,1637.0,1635.0,1663.0,1700.0,1695.0,1700.0,1695.0,1685.0,1695.0,1700.0,1754.0,1764.0,1790.0,1800.0,1800.0,1800.0,1798.0,1795.0,1750.0,1750.0,1795.0,1750.0,1794.0,1795.0,1800.0,1800.0,1750.0,1725.0,1740.0,1700.0,1738.0,1750.0,1752.0,1775.0,1750.0,1750.0,1750.0,1750.0,1700.0,1725.0,1700.0,1699.0,1700.0,1700.0,1750.0,1764.0,1800.0,1800.0,1850.0,1800.0,1800.0,1750.0,1750.0,1720.0,1701.0,1740.0,1750.0,1770.0,1800.0,1850.0,1850.0,1850.0,1800.0,1795.0,1770.0,1750.0,1750.0,1725.0,1775.0,1795.0,1800.0,1800.0,1800.0,1812.5,1800.0,1800.0,1766.0,1750.0
4,San Antonio,TX,San Antonio-New Braunfels,Bexar County,5,,,,,,,,1200.0,1195.0,1197.0,1137.5,1200.0,1095.0,1100.0,1125.0,1150.0,1175.0,1195.0,1200.0,1200.0,1153.5,1100.0,1100.0,1100.0,1150.0,1150.0,1150.0,1050.0,1050.0,1100.0,1125.0,1100.0,1095.0,1080.0,1095.0,1050.0,886.0,900.0,890.0,915.0,910.0,999.0,939.0,950.0,1000.0,1095.0,1075.0,1075.0,1075.0,1082.0,1100.0,1106.0,1100.0,1145.0,1157.0,1150.0,1125.0,1119.0,1100.0,1100.0,1100.0,1100.0,1125.0,1100.0,1133.0,1150.0,1145.0,1125.0,1100.0,1117.0,1125.0,1125.0,1145.0,1148.5,1115.0,1095.0,1082.0,1075.0,1095.0,1095.0,1065.0,1065.0,1095.5,1030.0,1165.0,1195.0,1200.0,1200.0,1227.5,1295.0,1275.0,1251.0,1250.0,1250.0,1245.0,1225.0,1250.0,1250.0,1250.0,1273.0,1295.0,1300.0,1300.0,1300.0,1289.0,1285.0,1295.0,1295.0,1295.0,1295.0,1300.0,1300.0,1325.0,1345.0,1349.0,1322.5,1299.0,1300.0,1299.0,1300.0
5,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,6,,1350.0,1292.5,1250.0,1300.0,1425.0,1474.5,1500.0,1450.0,1485.0,1450.0,1500.0,1392.5,1375.0,1450.0,1500.0,1495.0,1450.0,1450.0,1495.0,1400.0,1350.0,1325.0,1325.0,1250.0,1350.0,1400.0,1422.5,1400.0,1400.0,1350.0,1295.0,1200.0,1200.0,1200.0,1150.0,1150.0,1200.0,1295.0,1350.0,1400.0,1350.0,1300.0,1296.5,1300.0,1295.0,1250.0,1250.0,1250.0,1200.0,1250.0,1300.0,1500.0,1500.0,1500.0,1450.0,1400.0,1375.0,1350.0,1300.0,1395.0,1400.0,1500.0,1550.0,1595.0,1550.0,1500.0,1500.0,1475.0,1422.5,1425.0,1400.0,1400.0,1400.0,1500.0,1575.0,1550.0,1500.0,1450.0,1400.0,1399.0,1300.0,1397.5,1300.0,1325.0,1375.0,1500.0,1525.0,1550.0,1520.0,1500.0,1495.0,1440.0,1450.0,1450.0,1400.0,1400.0,1400.0,1495.0,1525.0,1550.0,1500.0,1500.0,1485.0,1425.0,1400.0,1450.0,1400.0,1400.0,1450.0,1500.0,1595.0,1595.0,1595.0,1550.0,1500.0,1500.0,1500.0,1500.0,1500.0
6,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,7,,1300.0,1200.0,1200.0,1200.0,1100.0,1150.0,1195.0,1100.0,1100.0,1099.0,1099.0,1025.0,1025.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1025.0,1000.0,995.0,995.0,995.0,995.0,1000.0,1000.0,1000.0,1050.0,1050.0,1000.0,1000.0,1000.0,1000.0,1000.0,999.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,995.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1095.0,1100.0,1100.0,1125.0,1150.0,1130.0,1130.0,1125.0,1150.0,1150.0,1195.0,1197.5,1200.0,1200.0,1200.0,1200.0,1200.0,1195.0,1200.0,1195.0,1200.0,1215.0,1225.0,1250.0,1250.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1195.0,1225.0,1250.0,1295.0,1300.0,1325.0,1325.0,1325.0,1300.0,1300.0,1299.0,1295.0,1300.0,1300.0,1300.0,1350.0,1350.0,1395.0,1395.0,1400.0,1400.0,1399.0,1395.0,1399.0,1400.0,1400.0,1400.0,1425.0,1450.0,1495.0,1495.0,1495.0,1500.0,1495.0,1460.0,1450.0,1450.0
7,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,8,,1295.0,1250.0,1250.0,1250.0,1200.0,1200.0,1200.0,1250.0,1212.5,1200.0,1150.0,1195.0,1150.0,1100.0,1150.0,1195.0,1165.0,1150.0,1150.0,1150.0,1145.0,1100.0,1100.0,1100.0,1100.0,1100.0,1095.0,1100.0,1100.0,1100.0,1100.0,1100.0,1095.0,1095.0,1095.0,1095.0,1095.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1150.0,1150.0,1150.0,1150.0,1175.0,1175.0,1195.0,1195.0,1195.0,1195.0,1195.0,1198.0,1200.0,1200.0,1200.0,1225.0,1200.0,1200.0,1237.5,1245.0,1225.0,1225.0,1245.0,1225.0,1250.0,1250.0,1250.0,1250.0,1250.0,1275.0,1200.0,1200.0,1200.0,1250.0,1275.0,1200.0,1250.0,1295.0,1300.0,1330.0,1325.0,1350.0,1350.0,1350.0,1350.0,1325.0,1340.0,1350.0,1350.0,1350.0,1390.0,1400.0,1400.0,1400.0,1445.0,1425.0,1450.0,1475.0,1450.0,1455.0,1465.0,1495.0,1499.0,1500.0,1500.0,1500.0,1500.0,1515.0,1500.0,1500.0,1500.0,1500.0
8,San Diego,CA,San Diego-Carlsbad,San Diego County,9,,,,,,,,3500.0,3000.0,2800.0,2500.0,2550.0,2100.0,2200.0,2200.0,2295.0,2300.0,2295.0,2250.0,2250.0,2200.0,2150.0,2100.0,2095.0,2000.0,2095.0,2007.5,1900.0,1899.0,2000.0,1995.0,2000.0,2000.0,1999.0,1995.0,1995.0,1990.0,1900.0,1903.0,1950.0,1995.0,2000.0,2000.0,1900.0,2200.0,2250.0,2195.0,2200.0,2200.0,2200.0,2195.0,2150.0,2250.0,2299.0,2295.0,2300.0,2350.0,2395.0,2350.0,2300.0,2350.0,2395.0,2300.0,2300.0,2295.0,2300.0,2350.0,2350.0,2350.0,2350.0,2395.0,2400.0,2400.0,2400.0,2400.0,2400.0,2325.0,2395.0,2388.0,2350.0,2395.0,2350.0,2300.0,2350.0,2400.0,2495.0,2500.0,2500.0,2600.0,2600.0,2600.0,2595.0,2550.0,2500.0,2500.0,2547.5,2500.0,2600.0,2595.0,2695.0,2695.0,2700.0,2750.0,2750.0,2700.0,2690.0,2600.0,2695.0,2650.0,2700.0,2650.0,2750.0,2800.0,2750.0,2700.0,2750.0,2750.0,2700.0,2700.0,2750.0
9,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095.0,1150.0,1080.0,1000.0,1131.5,1134.5,1200.0,1195.0,1100.0,1124.0,1200.0,1190.0,1200.0,1250.0,1295.0,1235.0,1250.0,1250.0,1230.0,1300.0,1250.0,1250.0,1230.0,1250.0,1300.0,1300.0,1350.0,1349.5,1300.0,1300.0,1300.0,1300.0,1300.0,1325.0,1378.0,1400.0,1400.0,1400.0,1495.0,1495.0,1400.0,1400.0,1400.0,1400.0,1448.0,1475.0,1500.0,1495.0,1495.0,1471.0,1450.0,1450.0,1400.0,1450.0,1495.0,1450.0,1500.0,1550.0,1600.0,1600.0,1650.0,1700.0,1650.0,1650.0,1679.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1650.0,1650.0,1650.0,1690.0,1650.0,1600.0,1600.0,1650.0,1650.0,1672.5,1650.0,1695.0,1750.0,1800.0,1795.0,1800.0,1795.0,1795.0,1750.0,1750.0,1700.0
