,RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
0,New York,NY,New York-Newark-Jersey City,Queens County,1,,,,,,,,,,,,,,,,,,,,,2450.0,2350.0,2500.0,2585.0,2580.0,2600.0,2545.0,2500.0,2500.0,2400.0,2400.0,2400.0,2500.0,2500.0,2500.0,2500.0,2450.0,2350.0,2350.0,2350.0,2599.0,2695.0,2720.0,2600.0,2650.0,2550.0,2500.0,2550.0,2545.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2545.0,2500.0,2650.0,2550.0,2400.0,2575.0,2595.0,2599.0,2600.0,2625.0,2700.0,2695.0,2650.0,2662.0,2600.0,2600.0,2650.0,2611.0,2600.0,2675.0,2700.0,2750.0,2710.0,2700.0,2700.0,2795.5,2800.0,2750.0,2675.0,2600.0,2600.0,2600.0,2650.0,2650.0,2650.0,2699.0,2700.0,2650.0,2600.0,2600.0,2600.0,2550.0,2500.0,2500.0,2500.0,2564.0,2550.0,2599.0,2575.0,2600.0,2550.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2560.0,2500.0,2500.0,2600.0,2600.0,2595.0,2595.0,2600.0
1,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2795.0,2700.0,2700.0,2700.0,2995.0,3200.0,3295.0,3200.0,3300.0,3200.0,3250.0,3300.0,3300.0,3255.0,3300.0,3500.0,3700.0,3895.0,3700.0,3875.0,3800.0,3750.0,3500.0,3500.0,3900.0,4000.0,4000.0,3960.0,3895.0,3950.0,3750.0,3500.0,3900.0,3500.0,3995.0,3600.0,3700.0,3895.0,3975.0,4000.0,4200.0,4150.0,4100.0,4100.0,4000.0,3995.0,3950.0,3995.0,3800.0,3750.0,3750.0,3950.0,3950.0,4100.0,4000.0,3999.0,4000.0,4000.0,4000.0,3995.0,3962.5,3975.0,3900.0,3990.0,4000.0,3999.0,3995.0,4000.0,4000.0,4000.0,4000.0,3999.0
2,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.0,1205.0,1250.0,1250.0,1295.0,1350.0,1400.0,1400.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1500.0,1525.0,1550.0,1595.0,1575.0,1550.0,1525.0,1500.0,1550.0,1550.0,1550.0,1575.0,1595.0,1595.0,1500.0,1500.0,1495.0,1500.0,1495.0,1450.0,1475.0,1400.0,1500.0,1500.0,1500.0,1569.0,1575.0,1595.0,1595.0,1575.0,1575.0,1500.0,1500.0,1500.0,1500.0,1500.0,1545.0,1595.0,1600.0,1600.0,1600.0,1600.0,1595.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1600.0,1600.0,1625.0,1600.0,1600.0,1600.0,1595.0,1550.0,1550.0
3,Chicago,IL,Chicago-Naperville-Elgin,Cook County,4,,,1542.5,1500.0,1500.0,1600.0,1600.0,1500.0,1650.0,1700.0,1790.0,1750.0,1600.0,1587.5,1550.0,1585.0,1600.0,1600.0,1650.0,1620.5,1620.5,1599.0,1550.0,1545.0,1550.0,1545.0,1575.0,1500.0,1550.0,1600.0,1600.0,1584.0,1500.0,1500.0,1485.0,1505.0,1500.0,1478.0,1500.0,1500.0,1526.0,1500.0,1563.5,1550.0,1550.0,1541.5,1549.0,1600.0,1552.0,1525.0,1538.5,1535.0,1608.0,1601.5,1625.0,1650.0,1675.0,1685.0,1692.5,1650.0,1649.5,1605.0,1615.0,1650.0,1650.0,1601.0,1601.5,1647.0,1630.0,1600.0,1600.0,1551.0,1561.0,1550.0,1554.0,1562.0,1580.0,1549.0,1575.0,1565.0,1550.0,1576.0,1549.5,1551.5,1500.0,1499.0,1500.0,1500.0,1549.0,1536.0,1600.0,1565.0,1550.0,1550.0,1500.0,1524.5,1500.0,1500.0,1524.5,1573.0,1575.0,1600.0,1602.0,1600.0,1600.0,1575.0,1565.0,1550.0,1550.0,1595.0,1600.0,1600.0,1600.0,1600.0,1644.5,1600.0,1607.0,1600.0,1600.0,1575.0
4,San Antonio,TX,San Antonio-New Braunfels,Bexar County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905.0,890.0,925.0,925.0,1050.0,970.0,1092.5,1095.0,1099.0,1075.0,1095.0,1095.0,1095.0,1100.0,1140.5,1100.0,1150.0,1180.0,1150.0,1145.0,1131.5,1115.0,1100.0,1119.0,1150.0,1150.0,1133.0,1150.0,1150.0,1150.0,1125.0,1100.0,1125.0,1125.0,1125.0,1150.0,1150.0,1124.0,1099.0,1095.0,1099.0,1099.0,1098.0,1075.0,1075.0,1100.0,1038.0,1175.0,1195.0,1200.0,1200.0,1250.0,1295.0,1295.0,1275.0,1250.0,1250.0,1250.0,1245.0,1250.0,1251.0,1251.0,1275.0,1295.0,1300.0,1300.0,1300.0,1295.0,1295.0,1295.0,1295.0,1300.0,1295.0,1300.0,1300.0,1332.5,1350.0,1350.0,1336.0,1300.0,1300.0,1300.0,1300.0
5,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,6,,,,,,,,,,,,,,,,1400.0,1375.0,1300.0,1350.0,1362.5,1300.0,1200.0,1200.0,1200.0,1200.0,1200.0,1350.0,1350.0,1300.0,1275.0,1225.0,1200.0,1100.0,1100.0,1100.0,1000.0,1000.0,1050.0,1100.0,1250.0,1300.0,1300.0,1250.0,1200.0,1199.0,1125.0,1150.0,1100.0,1150.0,1150.0,1195.0,1200.0,1400.0,1400.0,1400.0,1350.0,1300.0,1250.0,1250.0,1250.0,1300.0,1300.0,1382.5,1492.5,1500.0,1500.0,1472.5,1400.0,1395.0,1350.0,1350.0,1300.0,1300.0,1350.0,1470.0,1500.0,1500.0,1400.0,1300.0,1300.0,1275.0,1200.0,1295.0,1200.0,1250.0,1300.0,1350.0,1450.0,1450.0,1450.0,1400.0,1350.0,1300.0,1300.0,1350.0,1350.0,1300.0,1350.0,1400.0,1475.0,1499.0,1450.0,1400.0,1395.0,1350.0,1350.0,1360.0,1350.0,1350.0,1355.0,1400.0,1500.0,1500.0,1500.0,1500.0,1475.0,1400.0,1400.0,1400.0,1400.0
6,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,7,,1300.0,1250.0,1250.0,1250.0,1225.0,1200.0,1200.0,1195.0,1150.0,1162.5,1150.0,1095.0,1095.0,1095.0,1100.0,1099.0,1100.0,1100.0,1095.0,1073.0,1050.0,1000.0,1000.0,1000.0,1025.0,1075.0,1095.0,1099.0,1100.0,1100.0,1095.0,1075.0,1050.0,1050.0,1025.0,1050.0,1050.0,1050.0,1050.0,1050.0,1095.0,1095.0,1025.0,1100.0,1100.0,1095.0,1100.0,1100.0,1095.0,1099.0,1100.0,1175.0,1195.0,1195.0,1200.0,1195.0,1195.0,1195.0,1200.0,1200.0,1200.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1225.0,1250.0,1242.5,1250.0,1275.0,1272.5,1295.0,1295.0,1295.0,1299.5,1292.5,1279.0,1295.0,1275.0,1275.0,1250.0,1295.0,1325.0,1350.0,1400.0,1400.0,1400.0,1400.0,1395.0,1395.0,1375.0,1360.0,1395.0,1375.0,1395.0,1418.0,1450.0,1495.0,1495.0,1500.0,1495.0,1476.0,1475.0,1495.0,1495.0,1499.0,1500.0,1549.0,1595.0,1599.0,1600.0,1600.0,1600.0,1600.0,1575.0,1550.0,1560.0
7,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,8,,1400.0,1350.0,1295.0,1300.0,1295.0,1250.0,1250.0,1295.0,1250.0,1250.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1195.0,1195.0,1195.0,1190.0,1150.0,1150.0,1150.0,1185.0,1190.0,1175.0,1150.0,1150.0,1150.0,1125.0,1120.0,1125.0,1125.0,1150.0,1150.0,1175.0,1175.0,1195.0,1195.0,1195.0,1185.0,1195.0,1195.0,1195.0,1195.0,1195.0,1195.0,1200.0,1200.0,1200.0,1225.0,1225.0,1200.0,1200.0,1200.0,1225.0,1250.0,1250.0,1250.0,1250.0,1250.0,1295.0,1295.0,1295.0,1280.0,1295.0,1275.0,1275.0,1295.0,1300.0,1300.0,1299.0,1300.0,1295.0,1295.0,1295.0,1295.0,1295.0,1250.0,1300.0,1350.0,1350.0,1350.0,1385.0,1395.0,1400.0,1400.0,1395.0,1395.0,1399.0,1400.0,1400.0,1440.0,1450.0,1495.0,1495.0,1495.0,1499.0,1500.0,1500.0,1540.0,1545.0,1550.0,1550.0,1575.0,1600.0,1645.0,1625.0,1600.0,1600.0,1621.0,1605.0,1599.0,1600.0,1600.0
8,San Diego,CA,San Diego-Carlsbad,San Diego County,9,,,,,,,,,,,,,,,2800.0,2950.0,2950.0,2850.0,2750.0,2700.0,2575.0,2397.5,2300.0,2300.0,2295.0,2300.0,2297.5,2177.0,2200.0,2300.0,2300.0,2299.0,2300.0,2275.0,2200.0,2195.0,2150.0,2100.0,2100.0,2200.0,2395.0,2400.0,2462.5,2550.0,2690.0,2600.0,2400.0,2550.0,2495.0,2400.0,2350.0,2350.0,2600.0,2750.0,2700.0,2695.0,2650.0,2695.0,2750.0,2650.0,2750.0,2850.0,2695.0,2700.0,2695.0,2650.0,2695.0,2695.0,2695.0,2650.0,2692.5,2750.0,2800.0,2900.0,2800.0,2800.0,2700.0,2700.0,2700.0,2700.0,2600.0,2617.5,2600.0,2600.0,2795.0,2900.0,2900.0,2937.5,2999.0,3000.0,2950.0,2950.0,2925.0,2867.5,2870.0,2950.0,2900.0,2995.0,2950.0,3000.0,3100.0,3125.0,3197.5,3100.0,2995.0,2900.0,2950.0,3000.0,3000.0,3100.0,3095.0,3192.5,3200.0,3100.0,3000.0,3075.0,3000.0,2995.0,2999.0,3100.0
9,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,1195.0,1195.0,1195.0,1175.0,1200.0,1195.0,1170.5,1195.0,1200.0,1200.0,1195.0,1200.0,1239.0,1200.0,1250.0,1250.0,1198.0,1295.0,1250.0,1225.0,1225.0,1275.0,1350.0,1350.0,1350.0,1350.0,1350.0,1325.0,1300.0,1312.5,1300.0,1338.5,1400.0,1450.0,1450.0,1500.0,1550.0,1595.0,1482.5,1450.0,1475.0,1495.0,1499.0,1600.0,1650.0,1600.0,1600.0,1595.0,1550.0,1550.0,1500.0,1495.0,1575.0,1495.0,1600.0,1600.0,1700.0,1750.0,1800.0,1895.0,1800.0,1800.0,1800.0,1695.0,1700.0,1700.0,1700.0,1695.0,1669.0,1695.0,1700.0,1700.0,1725.0,1699.5,1650.0,1650.0,1695.0,1695.0,1715.0,1700.0,1750.0,1825.0,1850.0,1850.0,1850.0,1800.0,1800.0,1800.0,1800.0,1795.0
