U.S. State,"% change in abortion rate, 2017-2020","% change in the no. of abortion clinics, 2017-2020 [4]","% change in the no. of abortion providers, 2014-2017 [4]","% change in women who likely need public support for contraceptive services and supplies, 2016","% of all U.S. abortions, by state of occurrence, 2020","% of births that were publicly funded, 2010","% of counties without a known abortion provider, 2014","% of counties without a known clinic, 2020 [4]","% of likely need met by Title X-funded centers, 2016","% of likely need met by publicly funded centers, 2016","% of planned births that were publicly funded , 2010","% of residents obtaining abortions who traveled out of state for care, 2020","% of unplanned births that were publicly funded, 2010","% of women aged 15-44 covered by Medicaid, 2017","% of women aged 15-44 covered by private insurance, 2017","% of women aged 15-44 living in a county without a clinic, 2020 [4]","% of women aged 15-44 living in a county without an abortion provider, 2014","% of women aged 15-44 who are uninsured, 2017","Annual abortion costs saved from contraceptive services at Title X funded centers (in 000s of dollars), 2010","Annual abortion costs saved from contraceptive services at publicly funded family planning centers (in 000s of dollars), 2010","Annual costs saved from HPV vaccination at Title X-funded centers (in 000s of dollars), 2016 [6]","Annual costs saved from HPV vaccination at publicly funded family planning centers (in 000s of dollars), 2016 [6]","Annual costs saved from Pap and HPV testing at Title X-funded centers (in 000s of dollars), 2016","Annual costs saved from Pap and HPV testing at publicly funded family planning centers (in 000s of dollars), 2016","Annual costs saved from chlamydia, gonorrhea and HIV testing at Title X-funded centers (in 000s of dollars), 2016","Annual costs saved from chlamydia, gonorrhea and HIV testing at publicly funded family planning centers (in 000s of dollars), 2016","Annual family planning cost per client, 2016","Annual maternity and birth-related costs (through 60 months) saved from contraceptive services at Title X funded centers (in 000s of dollars), 2016","Annual maternity and birth-related costs (through 60 months) saved from contraceptive services at publicly funded family planning centers (in 000s of dollars), 2016","Annual miscarriage and ectopic pregnancy costs saved from contraceptive services at Title X funded centers (in 000s of dollars), 2016","Annual miscarriage and ectopic pregnancy costs saved from contraceptive services at publicly funded family planning centers (in 000s of dollars), 2016","Change in the no. of abortion clinics, 2017-2020 [4]","Change in the no. of abortion providers, 2014-2017 [4]","Cost per Medicaid-funded birth, including delivery, infant and child costs, 2016","Federal costs for intended pregnancies (in millions of dollars), 2010","Federal costs for publicly funded pregnancies (in millions of dollars), 2010","Federal costs for unintended pregnancies (in millions of dollars), 2010","No. of Title X-funded centers, 2015","No. of abortion clinics, 2020 [4]","No. of abortion providers, 2017 [4]","No. of abortions averted by publicly funded centers, 2016","No. of abortions per 1,000 women aged 15–44, by state of occurrence, 2020","No. of abortions per 1,000 women aged 15–44, by state of residence, 2020 [7]","No. of abortions, by state of occurrence, 2020 [3]","No. of abortions, by state of residence, 2020 [8]","No. of births averted by publicly funded centers, 2016","No. of federally funded abortions, 2010","No. of female contraceptive clients served at publicly funded centers , 2016","No. of female contraceptive clients younger than 20 served at publicly funded centers, 2016","No. of pregnancies averted by publicly funded centers, 2016","No. of pregnancies averted to clients aged <20 by publicly funded centers, 2016","No. of publicly funded births, 2010","No. of publicly funded family planning centers, 2015","No. of publicly funded planned birth, 2010","No. of publicly funded unplanned birth, 2010","No. of state funded abortions, 2010","Population of women aged 13-44, 2016","Public costs per woman 15-44 for unintended pregnancies (in dollars), 2010","Reported public expenditures for abortions (in 000s of dollars), federal, 2015","Reported public expenditures for abortions (in 000s of dollars), state, 2015 [5]","Reported public expenditures for family planning client services (in 000s of dollars), MCH block grant, 2015 [5]","Reported public expenditures for family planning client services (in 000s of dollars), Medicaid, 2015","Reported public expenditures for family planning client services (in 000s of dollars), SSBG and TANF, 2015 [5]","Reported public expenditures for family planning client services (in 000s of dollars), Title X, 2015","Reported public expenditures for family planning client services (in 000s of dollars), state appropriations, 2015 [5]","State-level costs for intended pregnancies (in millions of dollars), 2010","State-level costs for publicly funded pregnancies (in millions of dollars), 2010","State-level costs for unintended pregnancies (in millions of dollars), 2010","Total annual net savings from services provided during family planning visits at Title X-funded centers (in 000s of dollars), 2016","Total annual net savings from services provided during family planning visits at publicly funded family planning centers (in 000s of dollars), 2016","Total costs for publicly funded pregnancies (in millions of dollars), 2010","Total no. of publicly funded abortions , 2010","Total no. of women aged 15-44, 2017","Total public costs for intended pregnancies (in millions of dollars), 2010","Total public costs for unintended pregnancies (in millions of dollars) , 2010","Total reported public expenditures for abortions (in 000s of dollars), 2015 [5]","Total reported public expenditures for family planning client services (in 000s of dollars), 2015"
California,17,7,-18,2,16.6,49.7,24,38,36,64,42.7,0,64.3,27,62,3,1,9,"12,566","17,463",289,515,"1,022","1,830","27,683","49,454",354,"1,030,480","1,840,414","29,055","51,892",12,-93,"15,366","1,484","2,546","1,062",353,173,419,"117,390",19.2,19,"154,060","152,400","163,380",0,"1,618,010","252,840","346,970","69,560","253,600","1,697","148,300","105,300","88,466","8,557,280",222,0,"32,613",nr,"438,559",0,"16,146",nr,926.9,"1,616",689.3,"768,060","1,371,756","4,162","88,466","8,104,632","2,411","1,751","32,613","454,706"
Georgia,12,-7,-7,14,4.5,61.6,94,95,12,26,41.5,5,80.5,13,64,55,54,19,3,5,18,39,149,322,"3,414","7,336",112,"130,895","281,291","4,603","9,892",-1,-2,"19,945",333.9,"1,022",687.7,125,14,26,"14,140",18.9,16.6,"41,620","36,470","19,680",8,"194,910","42,860","41,800","11,790","82,500",383,"27,000","55,500",0,"2,269,490",442,298,nr,nr,"30,165",nr,"5,500",nr,111.6,341.3,229.7,"128,919","277,045","1,363",8,"2,147,399",445.5,917.5,298,"35,665"
Illinois,28,20,0,2,5.7,55.5,91,89,13,24,38.7,1,78.3,22,68,32,34,9,41,74,25,47,109,208,"2,158","4,100",357,"141,815","269,071","5,064","9,608",5,0,"20,220",379.7,951.2,571.5,95,30,40,"13,800",21.3,17.1,"52,780","42,250","19,210",237,"190,230","39,180","40,790","10,780","91,700",340,"36,700","55,000",134,"2,714,910",351,38,61,400,"45,806","2,370","4,900","4,657",233.9,586.1,352.2,"113,354","215,078","1,537",371,"2,532,027",613.6,923.7,99,"58,133"
Washington,-3,-8,2,8,1.9,45.2,94,56,20,66,34.9,5,63.1,21,66,9,15,8,"2,314","3,471",14,22,141,227,871,"1,396",344,"120,460","192,906","3,827","6,128",-3,1,"21,438",279.6,570.3,290.7,64,37,51,"9,820",11.7,11.6,"17,980","17,910","13,670",0,"135,400","27,210","29,040","7,490","39,100",257,"19,200","19,900","14,236","1,525,860",345,0,"5,617",0,"21,794",0,"3,148","9,643",164.9,342,177.1,"96,230","154,104",912.2,"14,236","1,464,754",444.5,467.8,"5,617","34,585"
Colorado,3,28,-11,9,1.4,44.2,77,77,12,35,33.3,1,63.8,20,66,26,17,10,0,0,15,42,53,148,"1,244","3,447",374,"52,980","146,788","1,582","4,384",5,-4,"17,170",136,282.2,146.1,64,23,32,"8,380",11.2,9.9,"13,420","11,830","11,660",0,"115,490","23,720","24,770","6,530","29,300",221,"14,200","15,100",0,"1,193,540",231,0,0,184,"16,903",0,"3,189","8,977",84.8,176,91.1,"40,278","111,595",458.1,0,"1,137,745",220.8,237.3,0,"29,252"
Kansas,19,0,0,5,0.9,32.5 [2],97,98,13,18,22.1 [2],4,47.2 [2],12,71,60,56,11,0,0,4,5,50,70,171,240,124,"32,454","45,415",962,"1,346",0,0,"20,606",82.6 [2],198.3 [2],115.7 [2],63,4,4,"2,490",14.5,7.3,"8,180","4,120","3,470",0,"34,380","6,420","7,370","1,770","13,200 [2]",128,"5,500 [2]","7,700 [2]",0,"598,530",299 [2],0,nr,0,"22,969",0,"2,049",94,35.9 [2],86.3 [2],50.4 [2],"30,591","42,809",284.6 [2],0,"558,606",118.5 [2],166.1 [2],nr,"25,112"
New York,10,-8,16,-1,11.9,52.2,37,37,23,37,42.7,1,70.2,27,65,6,6,7,"3,129","4,279",64,101,389,614,"8,273","13,007",467,"470,350","739,235","12,330","19,379",-9,34,"24,336","1,078","2,016",937.7,175,104,252,"31,490",28.8,27.6,"110,360","105,990","43,820",0,"433,960","83,050","93,060","22,850","127,500",557,"68,500","59,000","45,722 [1]","4,227,140",380,0,"16,306","3,576","61,057",0,"14,712","33,741",673.3,"1,274",601.1,"362,426","569,620","3,290","45,722","4,001,053","1,758","1,539","16,306","113,086"
Texas,1,14,-20,15,6.2,60.9,95,96,8,21,49.6,8,73.7,12,61,44,40,24,1,1,17,48,171,473,"25,032","69,076",234,"259,971","717,387","6,611","18,242",3,-9,"23,928","1,570","3,627","2,057",96,24,35,"30,100",9.5,10.1,"58,020","61,500","41,890",3,"414,860","83,800","88,960","23,050","235,100",453,"101,900","133,200",0,"6,196,090",543,<1000,0,0,"66,585","3,969","12,441","74,731",643.3,"1,486",842.6,"256,633","708,178","5,113",3,"5,885,855","2,214","2,899",<1000,"157,726"
Pennsylvania,4,-6,2,0,3.5,38.5,81,82,24,32,28,14,53.5,21,70,38,42,7,1,1,67,89,181,242,"7,888","10,537",201,"390,859","521,886","11,314","15,107",-1,1,"31,830",351.6,830.2,478.6,169,17,43,"16,950",13.6,14.7,"32,260","34,950","23,580",0,"233,560","50,280","50,090","13,830","55,200",309,"23,400","31,800",7,"2,529,940",298,76,0,"1,899","59,236","2,000","10,634","1,181",182.3,430.6,248.2,"375,143","500,907","1,261",7,"2,383,721",534,726.8,76,"74,949"
Massachusetts,-10,-11,9,2,1.8,35.3,21,50,16,25,25.5,6,56.4,25,70,14,9,3,298,488,13,21,78,124,"1,503","2,394",321,"116,234","185,134","3,093","4,926",-2,4,"29,303",210.1,429.8,219.6,90,17,47,"6,590",12.2,12.5,"17,060","17,460","9,170",0,"90,830","20,020","19,480","5,510","25,700",229,"12,600","13,100","4,100","1,450,360",264,0,"1,400",0,"18,961",0,"5,165","1,858",131.1,269.4,138.3,"102,600","163,418",699.2,"4,100","1,381,812",341.2,357.9,"1,400","25,984"
Sources,Sources:  [13],Sources:  [14],n/a,Sources:  [8],Sources:  [13],"Sources:  [2, 4]",Sources:  [5],Sources:  [14],Sources:  [8],Sources:  [8],"Sources:  [2, 4]",Sources:  [12],"Sources:  [2, 4]",Sources:  [10],Sources:  [10],Sources:  [14],"Sources:  [6, 5]",Sources:  [10],Sources:  [3],Sources:  [3],Sources:  [8],Sources:  [8],Sources:  [8],Sources:  [8],Sources:  [8],Sources:  [8],Sources:  [8],Sources:  [8],Sources:  [8],Sources:  [8],Sources:  [8],Sources:  [14],n/a,Sources:  [8],Sources:  [4],"Sources:  [2, 4]","Sources:  [2, 4]",Sources:  [11],Sources:  [14],n/a,Sources:  [8],Sources:  [13],Sources:  [12],Sources:  [13],Sources:  [12],Sources:  [8],Sources:  [1],Sources:  [8],Sources:  [8],Sources:  [8],Sources:  [8],"Sources:  [2, 4]",Sources:  [11],"Sources:  [2, 4]","Sources:  [2, 4]",Sources:  [1],Sources:  [8],"Sources:  [2, 4]",Sources:  [9],Sources:  [9],Sources:  [9],Sources:  [9],Sources:  [9],Sources:  [9],Sources:  [9],Sources:  [4],"Sources:  [2, 4]","Sources:  [2, 4]",Sources:  [8],Sources:  [8],"Sources:  [2, 4]",Sources:  [1],Sources:  [7],Sources:  [4],"Sources:  [2, 4]",Sources:  [9],Sources:  [9]
"1. Number of abortions is from 2009; expenditures are estimated using the average spending per abortion in the other nonrestrictive states ($375). Notes: State policies are as of the middle of FY 2010 (April 1, 2010). States with nonrestrictive policies use their own funds to pay for most or all medically necessary abortions provided to Medicaid recipients; the policy may have been adopted either voluntarily or because of a court order. States with restrictive policies pay for abortions only in a few circumstances: when necessary to save the life of the woman or when the pregnancy is the result of rape or incest (which is federal policy); only to save the life of the woman (a violation of federal policy); or , 2. For these states, the number of unplanned births and the proportion of planned and unplanned births that were publicly funded were estimated by regression analyses., 3. Rounded to the nearest 10., 4. Abortion clinics are health care facilities other than hospitals and physicians’ offices that provide abortion care. Physicians’ offices that provided 400 or more abortions in a calendar year are also counted as clinics., 5. nr=no response or not available. , 6. Includes savings from other HPV-attributable cancer cases averted in addition to cervical cancer., 7. Numerator includes all abortions to residents of each state, regardless of patient’s age at outcome., 8. Rounded to the nearest 10. State totals do not sum to US total because of the small number of residents of US territories or other countries who have abortions in the 50 states or the District of Columbia., 9. u = unavailable, 10. n/a = not applicable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
