AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
10180,"Abilene, TX",4,TX,0,Cross-industry,cross-industry,1235,15-0000,Computer and Mathematical Occupations,major,880,4,12.47,0.37,,,33.23,69110,2.1,17.01,22,29.39,41.72,55.94,35390,45770,61130,86770,116360,,
10180,"Abilene, TX",4,TX,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,60,8.1,0.82,0.24,,,38.38,79820,4.5,24.26,29.52,34.8,46.59,59.05,50460,61390,72390,96900,122830,,
10180,"Abilene, TX",4,TX,0,Cross-industry,cross-industry,1235,15-1232,Computer User Support Specialists,detailed,270,5.6,3.887,0.82,,,23.28,48430,2.5,13.18,18.57,22.77,26.4,30.96,27420,38630,47370,54920,64400,,
10180,"Abilene, TX",4,TX,0,Cross-industry,cross-industry,1235,15-1244,Network and Computer Systems Administrators,detailed,100,7.2,1.444,0.65,,,35.9,74660,1.6,22.28,28.77,35.35,42.37,50.03,46350,59830,73520,88130,104050,,
10180,"Abilene, TX",4,TX,0,Cross-industry,cross-industry,1235,15-1251,Computer Programmers,detailed,40,6.9,0.549,0.61,,,35.41,73660,5.2,18.04,26.72,32.95,42.28,49.84,37510,55580,68540,87950,103660,,
10180,"Abilene, TX",4,TX,0,Cross-industry,cross-industry,1235,15-1252,Software Developers,detailed,120,13.4,1.687,0.16,,,45.04,93690,2.6,23.26,34.75,45.29,57.47,66.65,48390,72280,94190,119530,138640,,
10180,"Abilene, TX",4,TX,0,Cross-industry,cross-industry,1235,15-1299,"Computer Occupations, All Other",detailed,80,5.8,1.165,0.41,,,38.49,80050,3.7,20.2,23.9,34.75,47.21,58.52,42020,49710,72280,98200,121710,,
10380,"Aguadilla-Isabela, PR",4,PR,0,Cross-industry,cross-industry,1235,15-0000,Computer and Mathematical Occupations,major,960,3.6,19.077,0.56,,,27.33,56850,1.9,13.35,18.35,25.17,33.33,40.24,27760,38160,52360,69320,83690,,
10380,"Aguadilla-Isabela, PR",4,PR,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,60,20.2,1.208,0.35,,,28.45,59170,5.5,18.43,22.76,31.72,33.61,37.01,38330,47330,65980,69900,76980,,
10380,"Aguadilla-Isabela, PR",4,PR,0,Cross-industry,cross-industry,1235,15-1231,Computer Network Support Specialists,detailed,**,**,**,**,,,31.21,64910,16.4,19.84,23.01,30.67,35.8,35.8,41260,47860,63800,74460,74470,,
10380,"Aguadilla-Isabela, PR",4,PR,0,Cross-industry,cross-industry,1235,15-1232,Computer User Support Specialists,detailed,260,8.4,5.125,1.09,,,17.18,35740,2.4,9.71,13.21,16.04,21.97,23.95,20190,27480,33360,45710,49820,,
10380,"Aguadilla-Isabela, PR",4,PR,0,Cross-industry,cross-industry,1235,15-1244,Network and Computer Systems Administrators,detailed,50,8.8,0.996,0.45,,,29.04,60410,5.3,14.78,18.05,25.54,32.63,48.05,30730,37550,53130,67860,99950,,
10380,"Aguadilla-Isabela, PR",4,PR,0,Cross-industry,cross-industry,1235,15-1252,Software Developers,detailed,350,9,6.922,0.67,,,33.47,69610,2,24.01,25.17,32.77,40.24,40.24,49940,52360,68160,83690,83690,,
